User Type,Username,Date,Text
,reproduzir,2013-02-01T23:19Z,Valeu cara!! o mais ironico e que baixei ontem com uma qualidade terrivel !! e agora acho isso. Uma maravilha
,gmenezes,2013-02-02T01:47Z,"é assim mesmo ""reproduzir"". esse filme está em alta definição HD o máximo de nitidez com audio em portugues brasileiro. Como vc mesmo disse ""uma maravilha!"". Aproveite. Obrigado"
,psycomem,2013-02-21T04:46Z,UM DOS MELHORES TRABALHOS DE QUENTIN TARRANTINO! EU INDICO! OTIMO TRABALHO BROTHER! ALTA DEFINIÇÃO! AUDIO 10  VIDEO 10 
