Filename,Size,Unit
D3 - Everything Before.flac,128.22,M
D2 - One Trick Pony.flac,83.57,M
D1 - Raise Your Weapon.flac,166.78,M
Deadmau5 - 4x4=12.log,451,B
Deadmau5 - 4x4=12.m3u,776,B
info.txt,2.27,K
folder.jpg,633.81,K
C3 - Right This Second.flac,154.82,M
C2 - Bad Selection.flac,112.73,M
A3 - Animal Rights.flac,129.11,M
A2 - A City In Florida.flac,119.35,M
A1 - Sofi Needs A Ladder.flac,142.38,M
B1 - Cthulhu Sleeps.flac,212.56,M
C1 - I Said (Michael Woods Remix).flac,142.99,M
B2 - Some Chords.flac,152,M
Artwork/Untitled-4.png,2.54,M
Artwork/Untitled-8.png,15.05,M
