User Type,Username,Date,Text
,dumytr3scu,2013-03-03T23:48Z,multzam tare fratioare !
,dumytr3scu,2013-03-03T23:51Z,dati si voi omului asta un comment de multumire ca face un gest pt noi gratuit! nu castiga nimic si tot gratuit e sa-i multumiti ;)
,dj_monkey,2013-03-05T22:00Z,"Anul trecut am cautat pe toate site-urile de torrents sezonul 2 si nu am gasit nimic doar o calitate 240p inpartite in 1000 de parti, iar acum gasesc pe site-ul meu preferat TPB. Mersii mult!!!!!!!! sper  sa uploadezi episoade in continuare ;)"
,prasila,2013-03-07T12:10Z,"cu placere :)

Sambata am o proba de sustinut, doar dupamasa va aparea..."
,prasila,2013-03-07T12:11Z,defapt... poate reusesc vineri noaptea :D
,Lowstrike,2013-03-09T02:25Z,"un 1080p? ce pula mea de rezolutie e 1072x608? nici macar 720p nu e, ce pula calului sa multumesc uploaderului? a, ok, mersi pentru PIXELI"
,theghostshadow,2013-03-22T22:37Z,thankx.nu te multumesti atunci nu mai comenta aiurea
