User Type,Username,Date,Text
,slesk89,2013-01-14T12:42Z,thank you nepotu..i hope your personal issues have been resolved :) Are you uploading yesterdays games?
[V],Nepotu,2013-01-14T12:54Z,"Yes, I try to recover the lost time. Yes, I think my personal issues are solved somehow. Thank you for your concern my friend! Cheers slesk89!"
,BostonAl2012,2013-01-14T14:14Z,"I guess I missed the part where you mentioned your Issues?  Sorry to hear, hope all is well!

DLing and seeding all 3 540p files you just ULed :)

Cheers"
,drdoom6996,2013-01-14T14:36Z,Thanks
[V],Nepotu,2013-01-14T14:49Z,"Thank you, BostonAl2012! Yes, somehow!
You're all welcome, guyz, and thank you for seeding!"
