Filename,Size,Unit
09-youth_lagoon-raspberry_cane.flac,41.6,M
02-youth_lagoon-mute.flac,41.54,M
06-youth_lagoon-dropla.flac,37.34,M
08-youth_lagoon-third_dystopia.flac,31.63,M
05-youth_lagoon-pelican_man.flac,31.33,M
07-youth_lagoon-sleep_paralysis.flac,29.48,M
10-youth_lagoon-daisyphobia.flac,29.43,M
03-youth_lagoon-attic_doctor.flac,26.22,M
04-youth_lagoon-the_bath.flac,24.58,M
01-youth_lagoon-through_mind_and_back.flac,10.42,M
00-youth_lagoon-wondrous_bughouse-cd-2013.jpg,1.24,M
00-youth_lagoon-wondrous_bughouse-cd-2013.nfo,962,B
00-youth_lagoon-wondrous_bughouse-cd-2013.sfv,485,B
00-youth_lagoon-wondrous_bughouse-cd-2013.m3u,336,B
