User Type,Username,Date,Text
,vreyhr676y,2013-05-14T04:07Z,"Thank you, I'll seed 150%
I appreciate your contribution but I have a small correction to make, your pictures are 848x480 and 16:9 480p is 854x480, no big deal but for better quality and fit on screen, if you can capture it at this resolution without changing the AR would be great."
,brumbie26,2013-05-14T06:04Z,"@vreyhr676y

download mkv merge gui:

http://www.videohelp.com/tools/MKVtoolnix

download mkvtomp4:

http://www.videohelp.com/tools/MkvToMp4

It takes about 3minutes to convert.In fact youcan convert all mkv's that are under a certain reframe rate"
,brumbie26,2013-05-14T06:10Z,"open mkvtools go to mkv merge open video>click on video file >format specific options>change size>start...about 20seconds..

open mkvtomp4>open video>start(reboxes the video to mp4)>around 2minutes>job done>>>take it easy>>"
,brumbie26,2013-05-14T06:11Z,A big thanks baiscope
,Afzal8920,2013-05-15T19:29Z,Thanks. Downloading :)
,wm123456,2013-05-19T15:05Z,thanks!
,BrenZBoy,2013-05-31T14:12Z,Please SEED...
